calss,Category,Tweet
4,Personal Attacks/Harassment,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
4,Personal Attacks/Harassment,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
4,Personal Attacks/Harassment,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
4,Personal Attacks/Harassment,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
4,Personal Attacks/Harassment,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
4,Personal Attacks/Harassment,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
4,Personal Attacks/Harassment,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
4,Personal Attacks/Harassment,""" &amp; you might not get ya bitch back &amp; thats that """
4,Personal Attacks/Harassment,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
4,Personal Attacks/Harassment,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
4,Personal Attacks/Harassment,""" Murda Gang bitch its Gang Land """
4,Personal Attacks/Harassment,""" So hoes that smoke are losers ? "" yea ... go on IG"
4,Personal Attacks/Harassment,""" bad bitches is the only thing that i like """
4,Personal Attacks/Harassment,""" bitch get up off me """
4,Personal Attacks/Harassment,""" bitch nigga miss me with it """
4,Personal Attacks/Harassment,""" bitch plz whatever """
4,Personal Attacks/Harassment,""" bitch who do you love """
4,Personal Attacks/Harassment,""" bitches get cut off everyday B """
4,Personal Attacks/Harassment,""" black bottle &amp; a bad bitch """
4,Personal Attacks/Harassment,""" broke bitch cant tell me nothing """
4,Personal Attacks/Harassment,""" cancel that bitch like Nino """
4,Personal Attacks/Harassment,""" cant you see these hoes wont change """
4,Personal Attacks/Harassment,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
